id;subset;;;;;;;;
1;A;;;;;;;;
2;B;;;;;;;;
3;C;;;;;;;;
4;A;;;;;;;;
5;B;;;;;;;;
6;C;;;;;;;;
7;A;;;;;;;;
8;B;;;;;;;;
9;C;;;;;;;;
10;A;;;;;;;;
11;B;;;;;;;;
12;C;;;;;;;;
13;A;;;;;;;;
14;B;;;;;;;;
15;C;;;;;;;;
16;A;;;;;;;;
17;B;;;;;;;;
18;C;;;;;;;;
19;A;;;;;;;;
20;B;;;;;;;;
21;C;;;;;;;;
22;A;;;;;;;;
23;B;;;;;;;;
24;C;;;;;;;;
25;A;;;;;;;;
26;B;;;;;;;;
27;C;;;;;;;;
28;A;;;;;;;;
29;B;;;;;;;;
30;C;;;;;;;;
31;A;;;;;;;;
32;B;;;;;;;;
33;C;;;;;;;;
34;A;;;;;;;;
35;B;;;;;;;;
36;C;;;;;;;;
37;A;;;;;;;;
38;B;;;;;;;;
39;C;;;;;;;;
40;A;;;;;;;;
41;B;;;;;;;;
42;C;;;;;;;;
43;A;;;;;;;;
44;B;;;;;;;;
45;C;;;;;;;;
46;A;;;;;;;;
47;B;;;;;;;;
48;C;;;;;;;;
49;A;;;;;;;;
50;B;;;;;;;;
51;C;;;;;;;;
52;A;;;;;;;;
53;B;;;;;;;;
54;C;;;;;;;;
55;A;;;;;;;;
56;B;;;;;;;;
57;C;;;;;;;;
58;A;;;;;;;;
59;B;;;;;;;;
60;C;;;;;;;;
61;A;;;;;;;;
62;B;;;;;;;;
63;C;;;;;;;;
64;A;;;;;;;;
65;B;;;;;;;;
66;C;;;;;;;;
67;A;;;;;;;;
68;B;;;;;;;;
69;C;;;;;;;;
70;A;;;;;;;;
71;B;;;;;;;;
72;C;;;;;;;;
73;A;;;;;;;;
74;B;;;;;;;;
75;C;;;;;;;;
76;A;;;;;;;;
77;B;;;;;;;;
78;C;;;;;;;;
79;A;;;;;;;;
80;B;;;;;;;;
81;C;;;;;;;;
82;A;;;;;;;;
83;B;;;;;;;;
84;C;;;;;;;;
85;A;;;;;;;;
86;B;;;;;;;;
87;C;;;;;;;;
88;A;;;;;;;;
89;B;;;;;;;;
90;C;;;;;;;;
91;A;;;;;;;;
92;B;;;;;;;;
93;C;;;;;;;;
94;A;;;;;;;;
95;B;;;;;;;;
96;C;;;;;;;;
97;A;;;;;;;;
98;B;;;;;;;;
99;C;;;;;;;;
100;A;;;;;;;;
